,lat,lon,time
588,48.162487,17.132349,20250825141029
589,48.162551,17.132351,20250825141030
590,48.162605,17.132411,20250825141031
591,48.162664,17.132472,20250825141032
592,48.162708,17.132542,20250825141033
593,48.162818,17.132637,20250825141034
594,48.162849,17.132708,20250825141035
595,48.162886,17.132754,20250825141036
596,48.162959,17.132829,20250825141037
597,48.16301,17.132899,20250825141038
598,48.163064,17.132955,20250825141039
599,48.163126,17.133024,20250825141040
600,48.163193,17.133103,20250825141041
601,48.163263,17.13318,20250825141042
602,48.163308,17.133247,20250825141043
603,48.163354,17.133337,20250825141044
604,48.163412,17.133392,20250825141045
605,48.163456,17.133433,20250825141046
606,48.163508,17.133482,20250825141047
607,48.16355,17.133531,20250825141048
608,48.163592,17.13358,20250825141049
609,48.163715,17.133611,20250825141050
610,48.163751,17.133626,20250825141051
611,48.163754,17.133603,20250825141052
612,48.16375,17.133576,20250825141053
613,48.16377,17.133541,20250825141054
614,48.163779,17.133523,20250825141055
615,48.163788,17.13348,20250825141056
616,48.163818,17.133487,20250825141057
617,48.163846,17.133504,20250825141058
618,48.163854,17.133512,20250825141059
619,48.163898,17.13351,20250825141100
620,48.163916,17.133502,20250825141101
621,48.16394,17.133462,20250825141102
622,48.16396,17.133413,20250825141103
623,48.163979,17.133353,20250825141104
624,48.164007,17.13332,20250825141105
625,48.164027,17.133276,20250825141106
626,48.164057,17.133242,20250825141107
627,48.164081,17.133173,20250825141108
628,48.164111,17.133112,20250825141109
629,48.164146,17.133038,20250825141110
630,48.164174,17.132974,20250825141111
631,48.1642,17.132905,20250825141112
632,48.164237,17.132814,20250825141113
633,48.164266,17.13277,20250825141114
634,48.164256,17.1327,20250825141115
635,48.164257,17.132634,20250825141116
636,48.164176,17.132603,20250825141117
637,48.164143,17.132532,20250825141118
638,48.164117,17.13247,20250825141119
639,48.164036,17.132413,20250825141120
640,48.163994,17.132357,20250825141121
641,48.163917,17.132285,20250825141122
642,48.163827,17.132242,20250825141123
643,48.163767,17.132188,20250825141124
644,48.163704,17.132155,20250825141125
645,48.163656,17.132132,20250825141126
646,48.163652,17.132063,20250825141127
647,48.163678,17.132007,20250825141128
648,48.163703,17.131917,20250825141129
649,48.163735,17.131833,20250825141130
650,48.163768,17.131794,20250825141131
651,48.163784,17.13176,20250825141132
652,48.163845,17.131693,20250825141134
653,48.163872,17.131623,20250825141135
654,48.16388,17.131582,20250825141136
655,48.163917,17.131635,20250825141137
656,48.163965,17.131655,20250825141138
657,48.164014,17.131722,20250825141139
658,48.164056,17.131795,20250825141140
659,48.164099,17.131687,20250825141141
660,48.164117,17.131548,20250825141142
661,48.164128,17.131452,20250825141143
662,48.164157,17.131355,20250825141144
663,48.164182,17.131271,20250825141145
664,48.164217,17.131187,20250825141146
665,48.164244,17.131097,20250825141147
666,48.164278,17.131017,20250825141148
667,48.164321,17.130968,20250825141149
668,48.164373,17.130891,20250825141150
